id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
52162115,New-central and cozy studio 1+0 neraby istiklal,380691347,Holiday,,Beyoglu,41.03473,28.97982,Entire home/apt,278,2,12,2022-03-13,2.17,11,362,12,
52162522,Garden view room with breakfast included,11120250,Amida HOUSE,,Fatih,41.0039,28.97811,Private room,500,1,2,2022-02-06,0.35,13,361,2,
52067931,lovely studio - rental unit with amazing pool view,410806575,Khaled,,Esenyurt,41.02269,28.65655,Private room,1457,1,0,,,1,365,0,
52163608,BEST LOCATION! 5BD-3BA (2 units) w/ Garden & AC,272396293,Aya Property,,Beyoglu,41.03196,28.9814,Entire home/apt,4777,3,2,2021-12-24,0.48,23,279,2,
52068924,luxury homes 3+1 in Şişli Istanbul,392064347,Revan,,Sisli,41.05746,28.98568,Entire home/apt,1604,5,0,,,2,360,0,
52068971,One Plus One Apartment,421562947,Salih,,Sisli,41.04437,28.98487,Entire home/apt,956,4,0,,,10,282,0,
52068972,Luxury One plus One 1,421562947,Salih,,Sisli,41.04214,28.98325,Private room,1251,1,0,,,10,365,0,
52165458,Trump AVM'ye 9 dakika mesafe'de sıfır 4. kat ev.,90611346,Ahmet Can,,Sisli,41.07138,28.98801,Entire home/apt,1029,1,33,2022-03-13,5.53,1,365,33,
52167047,Single Room in Kadikoy Center - Room 302,35882848,Günay,,Kadikoy,40.99131,29.027126,Shared room,280,2,1,2022-03-03,1,19,359,1,
52069554,Your House in Balat 113•2,33669241,Enes,,Fatih,41.03164,28.94741,Entire home/apt,529,1,8,2022-03-25,1.19,15,170,8,
52168242,Charming and Cozy Residance Flat,396163628,Onur,,Beyoglu,41.03949,28.97646,Entire home/apt,771,3,12,2022-02-05,1.91,13,73,12,
52126442,Cozy Duplex House-Near Taksim-Home Design R9,422019443,Sukı,,Beyoglu,41.035809,28.975677,Entire home/apt,568,1,7,2022-03-27,1.13,19,362,7,
52168599,Besiktas Room with Balcony,1267844,Gizem Damla,,Besiktas,41.04791,29.00082,Private room,406,2,0,,,1,145,0,
52127057,Awesome apartment in Moda with sea view,40663400,Ayse,,Kadikoy,40.97955057190693,29.022011676457062,Entire home/apt,1571,2,7,2022-02-28,1.74,1,161,7,
52070221,"Site İçerisinde Otoparklı daire, 1 oda kiralık /",421593101,Hakan Melih,,Maltepe,40.94793,29.15627,Private room,180,1,1,2021-11-07,0.21,1,365,1,
52169490,Cozy 2 Bedroom Apartment With Terrace,400120395,Hasan,,Fatih,41.003761,28.969687,Entire home/apt,952,2,1,2021-10-25,0.19,8,342,1,
52172515,Sultanahmet Suit Room 2,17107712,Alper,,Fatih,41.00491,28.97887,Private room,650,2,2,2022-01-28,0.53,6,365,2,
52127401,Feel as your home! | Cozy Room & Easy Location,49348498,Berke,,Besiktas,41.050663,29.02519,Private room,180,1,8,2021-11-15,1.22,1,54,8,
52172777,Güvenilir bir yer,253687426,Ahmet Burak,,Bahcelievler,41.00205,28.83706,Private room,150,1,0,,,1,365,0,
52128073,"central of beşiktaş , cheap room",350722479,Mehmet,,Besiktas,41.05034,29.0032,Private room,206,1,4,2021-11-22,0.64,3,365,4,
52128348,flat near Galata-cihangir-Taksim,190710196,Sadaf,,Beyoglu,41.02671,28.97246,Entire home/apt,293,2,14,2022-03-11,2.46,4,346,14,
52071733,Private room in Besiktas Center,417850044,Utku,,Besiktas,41.04479,29.00215,Private room,211,3,0,,,1,359,0,
52072491,Home Sweet Home,97007930,İkbal,,Atasehir,40.98345,29.14069,Private room,199,1,0,,,1,365,0,
52072560,make a wish under the fig tree,421614013,Meltem,,Sisli,41.05759,28.98682,Entire home/apt,883,1,0,,,1,358,0,
52172867,Kendi eviniz gibi hissedebileceğiniz bir ortam,371850691,Gökhan Eren,,Kucukcekmece,41.05543,28.7606,Private room,314,1,0,,,1,365,0,
52175987,ŞİŞLİ METRO - METROBÜS 2 dk yürüme mesafesinde,416531922,Aydın,,Sisli,41.06219,28.98444,Private room,210,1,0,,,1,365,0,
52177918,Sultanahmet meydanındaharika konumda 1+1daire,51888008,Zeynel,,Fatih,41.00386,28.9735,Entire home/apt,1266,1,1,2022-03-16,1,7,360,1,
52128927,Lovely studio flat in Beyoğlu,269074011,Selen,,Beyoglu,41.0527,28.94321,Entire home/apt,350,1,1,2021-09-11,0.15,1,332,1,
52129009,Chill Room Near to Bogazici Uni,106466615,Ömer Selman,,Sariyer,41.08676,29.04782,Private room,135,5,1,2022-02-26,0.91,2,328,1,
52178371,MODERN ROOM NEAR GALATA TOWER,7619547,Volkan,,Beyoglu,41.02743,28.97582,Private room,897,1,1,2021-09-19,0.15,16,334,1,
52073486,Duplex Apt & Two Bedrooms & Living Room. Fast wifi,1277051,Mehboob,,Fatih,41.03111,28.94572,Entire home/apt,901,3,4,2022-01-02,0.72,9,307,4,
52179709,"Room in bright, central flat with huge terrace",418518982,Sophie,,Beyoglu,41.03147,28.98128,Private room,457,2,7,2021-12-31,1.08,1,203,7,
52074381,A UNIQUE FLAT IN LUXURY SERVICED  RESIDENCE SWIMMING POOL FITNESS CENTER,406411720,Gökberk,,Maltepe,40.93381,29.13388,Entire home/apt,900,1,0,,,1,365,0,
52074410,Comfortable apartment near Bosphorus,416129062,Dilan,,Besiktas,41.05288,29.028,Entire home/apt,1463,2,1,2021-11-14,0.22,7,340,1,
52129210,Cozy Duplex House-Near Taksim-Home Design R8,422019443,Sukı,,Beyoglu,41.03636,28.97654,Entire home/apt,618,1,8,2022-03-29,1.29,19,353,8,
52129496,Wooden house in Galata Tower Historical Place,217807800,Furkan Tunç,,Beyoglu,41.02878,28.97752,Entire home/apt,971,2,29,2022-03-21,4.29,7,362,29,
52180140,Heybeli adada daire deniz manzaralı,202914737,Gülçe,,Adalar,40.87724,29.099,Entire home/apt,377,1,2,2021-09-28,0.32,1,0,2,
52180307,Bağdat caddesine çok yakın bahçeli ev,422403785,Deniz,,Kadikoy,40.96048,29.08787,Private room,256,1,8,2022-01-23,1.33,1,365,8,
52129797,Japan Muji Style(Cozy Suite with Balcony)Taksim R7,422019443,Sukı,,Beyoglu,41.03512,28.97662,Entire home/apt,472,1,2,2022-02-25,0.32,19,345,2,
52180449,Tarihi güzel yerler,414232110,Serdar,,Fatih,41.00371,28.97039,Private room,1610,2,0,,,3,365,0,
52181294,Pretty nice location clean room & home in Acibadem,92644963,Eren,,Uskudar,41.01354,29.05031,Private room,160,1,0,,,1,181,0,
52130412,Japan Muji Style(CozySuite )Taksim-Home DesignR5/6,422019443,Sukı,,Beyoglu,41.03674,28.97516,Entire home/apt,491,1,12,2022-03-15,1.94,19,362,12,
52077147,Ocak olanağı sunan bir misafir suiti,421654503,Ahmet,,Cekmekoy,41.02112,29.19106,Private room,100,1,0,,,1,0,0,
52079473,"Venezia residence
Venezia mega outlet
 gym-pool",421670792,Abdallah,,Bayrampasa,41.05966,28.89983,Entire home/apt,1000,1,0,,,1,365,0,
52181767,iki girişi olan temiz ve tam dayalı düşeli dairedir şehrin en işlek caddesi,421701799,Samir,,Sisli,41.05741,28.99233,Entire home/apt,800,1,0,,,1,365,0,
52079625,Very close to Sabiha Gökçen airport great view,74601378,Sahin,,Sultanbeyli,40.93294,29.27777,Entire home/apt,1104,3,1,2021-10-11,0.18,1,341,1,
52080184,"5 Mins to Sabiha Gokcen Airport, 2+1  WITH POOL",251283616,Ömer,,Pendik,40.91877,29.29813,Entire home/apt,544,1,24,2022-03-15,3.83,1,353,24,
52080343,istanbul'un merkezinde Karavan Kampında  konaklama,421676414,Gi̇zem,,Sariyer,41.23534,29.10123,Private room,500,5,0,,,1,365,0,
52130414,Sabiha Gökçen Havalanına ulaşımı kolay,422052141,Mehmet,,Pendik,40.92878,29.30268,Private room,154,1,1,2022-01-10,0.37,1,365,1,
52130618,Japan Muji Style(Cozy Suite )Taksim-Home Design R4,422019443,Sukı,,Beyoglu,41.03679,28.97483,Entire home/apt,441,1,5,2022-03-27,0.81,19,361,5,
52130730,Japan Muji Style(Cozy Suite )Taksim-Home Design R5,422019443,Sukı,,Beyoglu,41.03494,28.97511,Entire home/apt,501,1,5,2022-03-30,1.09,19,363,5,
52130918,Japan Muji Style(Cozy Suite )Taksim-Home Design R3,422019443,Sukı,,Beyoglu,41.03464,28.97591,Entire home/apt,425,1,4,2022-03-19,1.06,19,362,4,
52181788,Basın Expres Yolu üzerinde güzel bir sitede konut,302344636,Ahmet,,Bahcelievler,41.00907,28.80946,Entire home/apt,1950,1,0,,,1,365,0,
52183307,Kumburgaz Pansiyon,164123283,Utku,,Buyukcekmece,41.03085,28.45323,Private room,569,1,0,,,1,365,0,
52080380,Deniz ve kumsal eşliğinde manzaralı rezidans,230296077,İbrahim,,Esenyurt,41.05988,28.66798,Entire home/apt,600,2,1,2021-09-15,0.15,1,352,1,
52080607,dbl standart,7300494,Ayhan,,Fatih,41.005013,28.971403,Private room,444,3,2,2021-10-13,0.32,5,216,2,
52184604,Merkezi Konumda Güzel Bir Daire,147336846,Altin Emlak,,Bahcelievler,40.99501,28.84265,Entire home/apt,688,3,0,,,25,354,0,
52080796,Suit Room With Kitchen,363428431,Huseyin,,Kagithane,41.074203,28.981169,Entire home/apt,650,1,89,2022-03-25,14.92,4,365,89,
52235819,SUPERIOR ROOM,417471705,Lusin,,Fatih,41.004669,28.96492,Entire home/apt,900,3,0,,,4,365,0,
52237185,İstanbulun kalbinde ve eviniz rahatlığında,417471705,Lusin,,Fatih,41.005582962859705,28.965375245300237,Entire home/apt,720,1,0,,,4,365,0,
52131028,Ucretsiz otopark sunan cok genis ve ferah (3+1 dublex) bir daire olup özellikle genis aile olarak kalmak isteyen misafirler icin cok cazip bir mekan.,335328149,Faruk,,Fatih,41.00899,28.93958,Entire home/apt,750,1,6,2022-03-20,1.31,1,79,6,
52131583,Cozy Duplex House-Near Taksim-Home Design R2 B2&G2,422019443,Sukı,,Beyoglu,41.03469,28.97464,Entire home/apt,492,1,20,2022-03-27,3.23,19,359,20,
52131715,Cozy big room (basement garden view),422019443,Sukı,,Beyoglu,41.0366,28.97632,Entire home/apt,414,1,9,2022-03-29,1.63,19,360,9,
52132022,Kadıköy'de Manzaralı Rezidans,289786172,Yasemin,,Kadikoy,40.99587,29.05213,Private room,400,1,0,,,1,0,0,
52186271,taksim square,422120948,Sibel,,Beyoglu,41.03481,28.98267,Private room,289,2,16,2022-02-19,2.44,1,199,16,
52136706,Galata Duplex Apt. ★Balcony★ 1 min to Istiklal St.,422102557,Kule,,Beyoglu,41.028057,28.974443,Entire home/apt,850,2,17,2022-03-28,2.64,1,359,17,
52137186,"Lovely Large Bright Flat with two Balconies, Moda",8272680,Gokce,,Kadikoy,40.98557,29.02621,Entire home/apt,857,4,10,2022-03-09,1.72,1,167,10,
52237237,DELUXE ROOM,417471705,Lusin,,Fatih,41.00551,28.96592,Entire home/apt,900,3,3,2021-10-31,0.53,4,365,3,
52186285,Beylikdüzü/ Yakupluda huzurlu temiz  tüm daire,367933931,Çiğdem,,Beylikduzu,40.98799,28.67781,Entire home/apt,300,1,16,2022-03-24,2.39,1,338,16,
52186636,Özel havuzlu rahat villa,314625808,Hediye,,Buyukcekmece,41.04306,28.44061,Entire home/apt,2500,2,0,,,1,365,0,
52238778,Quiet oasis at the heart of Istanbul,151045996,Huseyin,,Beyoglu,41.02824,28.98579,Entire home/apt,800,2,3,2022-03-08,0.48,1,339,3,
52138064,2+1 2 BEDROOM LUXURY APARTMENT WITH SEA VIEW-ŞİŞLİ,421559957,Kaan,,Sisli,41.05789,28.97503,Entire home/apt,4813,1,0,,,22,365,0,
52138291,Sultanahmet ve denize yakın tüm bina,421967211,Mehmet,,Fatih,41.00528,28.97076,Entire home/apt,3614,2,5,2022-03-04,1.38,13,365,5,
